movie_id,movie_name,year,genre,overview,director,cast,emotions,language,industry,runtime,rating,imdb_id,plot
11,3 Idiots,2009,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Happy, Frustrated, Excited, Sad, Anxious, Lonely",Hindi,Bollywood,170,8.4,tt1187043,"""Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"". Farhan and Raju find from their biggest college rival Chatur that their missing friend Ranchoddas (Rancho) has been traced. The trio start their journey to find him where flashback revels Rancho, Raju and Farhan were engineering students and Rancho always believed that a person should be capable rather then being a bookworm and it will be way to success. He always got in tiff with Chatur and college director Viru Sahastrabuddhe (Virus) but fell in love with his daughter Pia. Things were going fine for them as they also cleared their first year exams in present day they reach house of Rancho where they find his father has passed away and the person who claims to be Rancho is someone else.—alex.mjacko@gmail.com"""
12,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao","Romantic, Happy, Hopeful, Empathetic, Anxious, Heartbroken",Hindi,Bollywood,144,7.3,tt14914988,"""A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway. Satyaprem (Sattu) is an unemployed bachelor living with his parents Narayan and Diwali and sister Sejal.He has attempted LLB exams several times but hasn't cleared yet and dreams of getting married soon.A year back during a Navratri festival he had met Katha at a Pandal where she was performing and fell in love with her but as the festival ended he realized she is very much in relationship with Tapan.In present times Narayan finds that Katha and Tapan have broken up and asks Sattu to inspire Katha on this Navratri but they find from his parents that she wont be performing this year at the function.Sattu sees this as opportunity and goes to meet Katha while her family is at the celebrations but finds that Katha has cut her wrist and takes her to hospital.Katha is not happy with Sattu for saving her life but her parents feel that he is the best choice for their daughter and approach his family also trying to convince Katha.Things go well and the marriage takes place but Katha starts avoiding Sattu since day one giving him handful of reasons until Sattu finds the real cause of her tragedy behind suicide attempt.—alex.mjacko@gmail.com"""
13,Lion,2016,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","Hope, Sadness, Admiration, Longing, Joy, Anxiety",English,Hollywood,118,8,tt3741834,"""A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family. In 1986, Saroo was a five-year-old child in India of a poor but happy rural family. On a trip with his brother, Saroo soon finds himself alone and trapped in a moving decommissioned passenger train that takes him to Calcutta, 1000 miles away from home. Now totally lost in an alien urban environment and too young to identify either himself or his home to the authorities, Saroo struggles to survive as a street child until he is sent to an orphanage. Soon, Saroo is selected to be adopted by the Brierley family in Tasmania, where he grows up in a loving, prosperous home. However, for all his material good fortune, Saroo finds himself plagued by his memories of his lost family in his adulthood and tries to search for them even as his guilt drives him to hide this quest from his adoptive parents and his girlfriend. Only when he has an epiphany does he realize not only the answers he needs, but also the steadfast love that he has always had with all his loved ones in both worlds.—Kenneth Chisholm (kchishol@rogers.com)"""
14,Bholaa Shankar,2023,"Action, Drama",A doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu","Excitement, Frustration, Anger, Anxiety, Tired, Revenge",Telugu,Tollywood,157,4,tt13131610,"""While attempting to build a life in Kolkata with his sister, a taxi driver must confront his dark past as he faces off against the city's underworld."""
15,Haddi,2023,"Crime, Drama","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba","Disgust, Fear, Sadness, Anger, Anxiety, Shock",Hindi,Bollywood,133,7.1,tt22188452,"""In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?"""
16,Friday Night Plan,2023,"Comedy, Drama","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand","Happy, Excited, Relaxed, Romantic, Frustrated, Lonely",Hindi,Bollywood,108,7.3,tt28568397,"""When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns."""
17,Neeyat,2023,"Crime, Mystery, Thriller","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi","Suspense, Intrigue, Curiosity, Doubt, Cynicism, Amusement",Hindi,Bollywood,132,6.1,tt21908676,"""When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends. Indian millionaire Ashish Kapoor has dumped the banks for twenty thousand Crore's and eloped to London also leaving his employee's with unpaid salary for more then two years.While Ashish enjoys a lavish life in London and has planned his birthday in a remote area in a 500 year old Castle.This birthday is not as usual lavish for him and he has invited only few of his close associates among them arrives one uninvited female guest.Due to heavy storm and breeze bridge coming to Castle is blocked which means there is no exit for anyone until storm calms down.In between crazy weather the party starts and while raising the toast Ashish tells everyone that he is soon going to surrender to Indian government and clear his name which means he will have to surrender all of his properties in London to Indian Government.Ashish introduces the uninvited guest as CBI officer Meera Rao who is come to arrest him and awaiting for Scotland yard who are stuck in storm.The decision creates havoc in the Castle and Ashish has scuffle with his son and goes out to breathe fresh air.But his friend Zara realizes that Ashish has plunged down into the sea leading to his death and body is washed off shore.Mira starts her investigation and finds that Ashish has not committed suicide but was pushed by someone.The investigation points needle to everyone in the Castle as all of them had reason to kill him.—alex.mjacko@gmail.com"""
18,Gadar 2,2023,"Action, Adventure, Drama","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Anil Sharma,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel","Excitement, Nostalgia, Patriotism, Tension, Triumph, Happiness",Hindi,Bollywood,170,5.7,tt15441054,"""When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeetey sets out to rescue him and enters a labyrinth from which they both must escape at all costs. Gadar II brings back India's most loved family of Tara, Sakeena and Jeete; 22 years after its predecessor. Set against the backdrop of Indo-Pakistan war of 1971, Tara Singh, once again, will face every enemy to protect the honor of country and family."""
19,Por Thozhil,2023,"Action, Crime, Thriller",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu","Tension, Anxiety, Suspense, Fear, Curiosity, Frustration",Tamil,Kollywood,147,8.5,tt27542289,"""A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose."""
20,Life of Pi,2012,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu","Wonder, Hope, Awe, Melancholy, Fear, Peace",English,Hollywood,127,7.9,tt0454876,"""A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger. In Canada, a writer visits the Indian storyteller Pi Patel and asks him to tell his life story. Pi tells the story of his childhood in Pondicherry, India, and the origin of his nickname. One day, his father, a zoo owner, explains that the municipality is no longer supporting the zoo and he has hence decided to move to Canada, where the animals the family owns would also be sold. They board on a Japanese cargo ship with the animals and out of the blue, there is a storm, followed by a shipwrecking. Pi survives in a lifeboat with a zebra, an orangutan, a hyena and a male Bengal tiger nicknamed Richard Parker. They are adrift in the Pacific Ocean, with aggressive hyena and Richard Parker getting hungry. Pi needs to find a way to survive.—Claudio Carvalho, Rio de Janeiro, Brazil"""
21,Asoka,2001,"Action, Biography, Drama",The epic tale of King Asoka's life is recounted.,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt","Romantic, Sad, Excited, Angry, Revenge, Lonely",Hindi,Bollywood,176,7.2,tt0249371,"""The epic tale of King Asoka's life is recounted. Prince Ashoke (Shahrukh Khan), heir to the Magadha Kingdom, bowing to his mother's (Shilpa Mehta) demand forsakes his princely status and goes to live in the wild for awhile. There he meets and falls in love with Kaurwaki (Kareena Kapoor). He identifies himself as Pawan, not wanting to disclose his identity yet. Ashoke has to return to Magadha, but when he returns to find and wed Kaurwaki, he is told by Bheema (Rahul Dev) that Kaurwaki and her brother Arya have been killed. Devastated Ashoke returns home. On the way home he is attacked and Devi (Hrishitaa Bhatt), of the Buddhist faith rescues him and tends to him till he gets well. As a result, Devi's marriage to her groom is cancelled. Ashoke weds her and brings her to Magadha, only to be told by his father that since Devi is not of the same race as he, she cannot be welcomed. Ashoke leaves with Devi and lives in Ujjaini. Soon Devi gets pregnant, and this arouses jealously and hatred amongst Ashoke's step-brothers. As a result they plot to kill Devi, however, their plans are foiled by Ashoke's mother, who is killed. Ashoke swears to avenge his mother's death by killing his step-brothers one by one, except for one, who has led to Kalinga. Ashoke asks the ruler of Kalings to turn over his step-brother to him, and they refuse. Ashoke swears to raze Kalinga to the ground. Ashoke is unstoppable. Even his close friend, Virat (Danny Denzongpa), too, is unable to stop Ashoke. Ashoke proceeds to war, little knowing that the queen of Kalinga is none other than Kaurwaki, who is still alive.—rAjOo (gunwanti@hotmail.com)"""
22,The Darjeeling Limited,2007,"Adventure, Comedy, Drama","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan","Wistful, Melancholy, Amusement, Nostalgia, Hopeful, Brotherly Love",English,Hollywood,91,7.2,tt0838221,"""A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other. A year after the accidental death of their father, three brothers -- each suffering from depression - meet for a train trip across India. Francis, the eldest, has organized it. The brothers argue, sulk, resent each other, and fight. The youngest, Jack, estranged from his girlfriend, is attracted to one of the train's attendants. Peter has left his pregnant wife at home, and he buys a venomous snake. After a few days, Francis discloses their surprising and disconcerting destination. Amid foreign surroundings, can the brothers sort out their differences? A funeral, a meditation, a hilltop ritual, and the Bengal Lancer figure in the reconciliation.—<jhailey@hotmail.com>"""
23,Dangal,2016,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra","Inspirational, Proud, Happy, Determined, Empathetic, Hopeful",Hindi,Bollywood,161,8.4,tt5074352,"""Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas. Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).—Dibyayan_Chakravorty"""
24,Tumbbad,2018,"Drama, Fantasy, Horror",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty","Fear, Dread, Greed, Curiosity, Supernatural Horror, Tension",Hindi,Bollywood,104,8.2,tt8239946,"""A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born. Set in Tumbbad in the 1920s, the story revolves around the three generations of a family facing the consequences when they build a temple for the first-born of a goddess, named Hastar--he who must not be worshiped. Hastar is a terrible entity who can curse a person yet also can grant gold coins. And the story put emphasis on human nature and the never ending greed. The myth of Hastar is, when the Goddess of Prosperity created the world she gave birth to Hastar followed by 16 Crore Gods and Goddesses. Hastar being her first born was her favorite child, but Hastar was very greedy. When the Goddess of Prosperity offered Hastar the ownership of all the gold in the universe or all the food, he took the gold as well as tried to take over the food in his greed fighting with his brothers and sisters. The 16 crore gods and goddesses overpowered Hastar and when they tried to kill him, the Goddess of Prosperity intervened and begged for his life. The 16 crore gods and goddesses accepted her request on one condition, that Hastar will never be mentioned in the Puranas nor he should be ever worshiped."""
25,Dunki,2023,"Comedy, Drama",The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.,Rajkumar Hirani,"Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal","Hope, Nostalgia, Melancholy, Friendship, Longing, Humor",Hindi,Bollywood,161,6.8,tt15428134,"""When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission. Four friends from a village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier promises to take them to the land of their dreams. Dunki is a hilarious and heartwarming saga of a perilous journey, borders, friendships, nostalgia for home, and love that towers above it all."""
26,Sirf Ek Bandaa Kaafi Hai,2023,"Crime, Drama, Thriller",A common man with honesty and integrity can take on the system when he has truth on his side.,Apoorv Singh Karki,"Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey","Tension, Hope, Inspiration, Righteousness, Determination, Relief",Hindi,Bollywood,132,8.5,tt24485052,"""A common man with honesty and integrity can take on the system when he has truth on his side."""
27,Gangs of Wasseypur,2012,"Action, Comedy, Crime","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha","Angry, Revenge, Frustrated, Excited, Anxious, Sad",Hindi,Bollywood,321,8.2,tt1954470,"""A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations. Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.—anonymous"""
28,Khufiya,2023,"Action, Biography, Crime","Krishna Mehra who is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",Vishal Bhardwaj,"Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon","Suspense, Intrigue, Anxiety, Sadness, Betrayal, Empathy",Hindi,Bollywood,2 hours 36,6.8,tt15433600,"""Krishna Mehra is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover."""
29,Animal,2023,"Action, Crime, Drama","Animal is the story of a son's obsessive love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and ...                See full summary »",Sandeep Reddy Vanga,"Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor","Angry, Revenge, Frustrated, Sad, Depressed, Anxious",Hindi,Bollywood,202,5.8,tt13751694,"""The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life. Animal is a dark action drama about Ranvijay Singh and his troubled relationship with his father Balbir Singh, a rich industrialist and pretty much the most powerful man in the country. As a kid, Ranvijay always wanted his father's attention and validation, but its absence ended up turning him into a violent and rebellious youngster who resorted to violence and brute force to solve problems, much to the chagrin of Balbir, who disapproved of his methods and sent him to boarding school. After returning home as an adult, he found himself unfavorably compared to his estranged brother-in-law and ended up saying something which prompted Balbir to kick him out once again. Ranvijay married his childhood sweetheart Gitanjali and moved to the US, and a cold war began between the father-son duo which abruptly ended after an assassination attempt on Balbir. Now, Ranvijay is ready to put his differences aside and plots vengeance against those who tried to kill Balbir, once again resorting to violence to solve this problem. As a result, the violence and bloodshed escalates and takes a heavy toll on his life and psyche, turning him into a cold-blooded animal who will stop at nothing in his pursuit of twisted vengeance.—A. P. Singh"""
30,Miss Shetty Mr Polishetty,2023,"Comedy, Drama, Romance","Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.",Mahesh Babu P.,"Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata","Happy, Romantic, Relaxed, Excited, Lonely, Frustrated",Telugu,Tollywood,143,7.2,tt15891388,"""Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect."""
31,Bawaal,2023,"Action, Drama, Romance",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,Nitesh Tiwari,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena","Sad, Anxious, Depressed, Lonely, Frustrated, Romantic",Hindi,Bollywood,130,6.2,tt19755170,"""A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position."""
32,Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni","Excitement, Awe, Romantic, Anxious, Hopeful, Fear",Hindi,Bollywood,166,5.5,tt6277462,"""A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them. In ancient India people of Brahmansh community would take care of their spiritual weapon Brahmastra but as years passed by with changing times people started to forget about it. In present day Shiva a DJ has strange connection with fire which never harms him he meets Isha and both fall in love. A Delhi based scientist Mohan Bhargav from Brahmansh community possess a piece of Brahmastra and gets attacked by two evil forces Zor and Raftaar but he manages to overcome them with powers of Vanarastra but the evil queen Junoon manages to control him and tortures to ask about Brahmastra. But Bhargav being protector of it gives his life which is seen by Shiva in hallucinations after he comes in contact with fire he also notices that next target could be an artist Anish Shetty. Shiva and Isha go to save Anish at Varanasi where he tells him the events he saw but Junoon has already reached there to kill him but Anish manages to escape with Shiva and Isha with power of Nandiastra and asks them to take him to Guruji's Ashram in Himachal. On the way Anish finds who actually is Shiva and gives his piece of Brahmastra to Isha and asks her to reach it safely to Guruji as Junoon is following them who is unaware of Guruji's Ashram. Anish loses his life while fighting with Junoon and her men while after lot of hurdles Shiva and Isha reach Guruji's Ashram where Guruji reveals who actually Shiva is and his connection with fire. And that Brahmastra has three pieces of which one is missing and if Junoon joins them all together the universe will be destroyed.—alex.mjacko@gmail.com"""
